gid,visteam,hometeam,site,date,number,starttime,daynight,innings,tiebreaker,usedh,htbf,timeofgame,attendance,fieldcond,precip,sky,temp,winddir,windspeed,oscorer,forfeit,suspend,umphome,ump1b,ump2b,ump3b,umplf,umprf,wp,lp,save,gametype,vruns,hruns,wteam,lteam,line,batteries,lineups,box,pbp,season
TOR201104050,OAK,TOR,TOR02,20110405,0,7:08PM,night,,,true,,174,11077,dry,none,dome,68,unknown,0,hobbd701,,,cedeg901,barkl901,culbf901,johna901,,,frasj002,balfg001,,regular,6,7,TOR,OAK,y,both,y,y,y,2011
BAL201104060,DET,BAL,BAL12,20110406,0,7:07PM,night,,,true,,171,12451,unknown,unknown,sunny,63,tocf,12,jacom701,,,joycj901,kulpr901,wolfj901,cousd901,,,verlj001,bergb002,,regular,7,3,DET,BAL,y,both,y,y,y,2011
CHN201104060,ARI,CHN,CHI11,20110406,0,1:21PM,day,,,false,,146,32272,unknown,unknown,unknown,48,tocf,5,frisd701,,,coope901,carlm901,timmt901,kellj901,,,galaa002,dempr002,putzj001,regular,6,4,ARI,CHN,y,both,y,y,y,2011
CIN201104060,HOU,CIN,CIN09,20110406,0,7:11PM,night,,,false,,192,17719,unknown,unknown,sunny,68,rtol,28,jonem701,,,welkt901,reynj901,dimum901,fleta901,,,volqe001,figun001,,regular,4,12,CIN,HOU,y,both,y,y,y,2011
CLE201104060,BOS,CLE,CLE08,20110406,0,7:06PM,night,,,true,,204,9523,unknown,unknown,overcast,39,fromrf,13,maveb701,,,scotd901,mealj901,buckc901,iassd901,,,perer002,matsd001,,regular,4,8,CLE,BOS,y,both,y,y,y,2011
COL201104060,LAN,COL,DEN02,20110406,0,1:10PM,day,,,false,,184,22595,unknown,unknown,unknown,47,rtol,3,einsd701,,,darlg901,drecb901,emmep901,drakr901,,,hammj002,billc001,streh001,regular,5,7,COL,LAN,y,both,y,y,y,2011
FLO201104060,WAS,FLO,MIA01,20110406,0,7:10PM,night,,,false,,191,13825,unknown,unknown,cloudy,74,fromcf,12,jernr701,,,tscht901,nelsj901,reybd901,welkb901,,,sancb001,gaudc001,nunel001,regular,4,7,FLO,WAS,y,both,y,y,y,2011
KCA201104060,CHA,KCA,KAN06,20110406,0,1:10PM,day,,,true,,221,13360,unknown,unknown,cloudy,69,torf,9,boycd701,,,laynj901,davib902,wendh902,knigb901,,,salec001,osuls001,,regular,10,7,CHA,KCA,y,both,y,y,y,2011
MIL201104060,ATL,MIL,MIL06,20110406,0,7:09PM,night,,,false,,156,23420,dry,none,dome,70,unknown,0,odrit701,,,millb901,cuzzp901,hoyej901,porta901,,,estrm001,minom001,axfoj001,regular,4,5,MIL,ATL,y,both,y,y,y,2011
PHI201104060,NYN,PHI,PHI13,20110406,0,7:06PM,night,,,false,,172,45061,unknown,unknown,unknown,55,unknown,11,macom701,,,wintm901,everm901,wegnm901,guccc901,,,basta001,boyeb001,contj002,regular,7,10,PHI,NYN,y,both,y,y,y,2011
SDN201104060,SFN,SDN,SAN02,20110406,0,3:37PM,day,,,false,,180,24368,unknown,unknown,unknown,68,ltor,12,zaveb701,,,mcclt901,barrt901,rungb901,hudsm901,,,linct001,staut001,ramir003,regular,8,4,SFN,SDN,y,both,y,y,y,2011
SLN201104060,PIT,SLN,STL10,20110406,0,12:45PM,day,,,false,,170,34965,unknown,unknown,cloudy,71,tocf,20,muelg701,,,nauep901,eddid901,demud901,danlk901,,,corrk001,carpc002,hanrj001,regular,3,1,PIT,SLN,y,both,y,y,y,2011
TBA201104060,ANA,TBA,STP01,20110406,0,1:10PM,day,,,true,,170,11836,unknown,unknown,dome,72,unknown,0,fergj701,,,davig901,holbs901,gibsg901,ticht901,,,hared001,hellj001,,regular,5,1,ANA,TBA,y,both,y,y,y,2011
TEX201104060,SEA,TEX,ARL02,20110406,0,1:06PM,day,,,true,,156,25049,unknown,unknown,cloudy,66,rtol,14,wells701,,,marqa901,hicke901,rapue901,onorb901,,,wilsc004,hernf002,,regular,3,7,TEX,SEA,y,both,y,y,y,2011
TOR201104060,OAK,TOR,TOR02,20110406,0,7:08PM,night,,,true,,138,11684,dry,none,dome,68,unknown,0,hobbd701,,,barkl901,culbf901,johna901,cedeg901,,,litsj001,bradd002,raucj001,regular,3,5,TOR,OAK,y,both,y,y,y,2011
BAL201104070,DET,BAL,BAL12,20110407,0,7:07PM,night,,,true,,205,11648,unknown,unknown,cloudy,59,fromcf,5,hennj701,,,kulpr901,wolfj901,cousd901,joycj901,,,johnj010,thomb001,,regular,5,9,BAL,DET,y,both,y,y,y,2011
CHA201104070,TBA,CHA,CHI12,20110407,0,1:10PM,day,,,true,,150,38579,unknown,unknown,overcast,39,ltor,11,frisd701,,,eddid901,demud901,danlk901,nauep901,,,jacke001,pricd001,,regular,1,5,CHA,TBA,y,both,y,y,y,2011
CIN201104070,HOU,CIN,CIN09,20110407,0,12:36PM,day,,,false,,173,20104,unknown,unknown,sunny,64,tocf,5,rothr701,,,reynj901,dimum901,fleta901,welkt901,,,abadf001,massn001,lyonb003,regular,3,2,HOU,CIN,y,both,y,y,y,2011
CLE201104070,BOS,CLE,CLE08,20110407,0,12:06PM,day,,,true,,156,10594,unknown,unknown,unknown,38,fromrf,11,murrc701,,,mealj901,buckc901,iassd901,scotd901,,,perer002,bardd001,perec002,regular,0,1,CLE,BOS,y,both,y,y,y,2011
FLO201104070,WAS,FLO,MIA01,20110407,0,7:10PM,night,,,false,,204,10696,unknown,unknown,sunny,81,fromrf,12,jernr701,,,nelsj901,reybd901,welkb901,tscht901,,,cofft001,mujie001,burns001,regular,5,3,WAS,FLO,y,both,y,y,y,2011
MIL201104070,ATL,MIL,MIL06,20110407,0,12:40PM,day,,,false,,170,24645,dry,none,dome,70,unknown,0,odrit701,,,cuzzp901,hoyej901,porta901,millb901,,,marcs001,hanst001,axfoj001,regular,2,4,MIL,ATL,y,both,y,y,y,2011
NYA201104070,MIN,NYA,NYC21,20110407,0,1:09PM,day,,,true,,184,41512,unknown,unknown,unknown,45,fromcf,11,freed701,,,vanol901,randt901,belld901,gormb901,,,burna001,lirif001,rivem002,regular,3,4,NYA,MIN,y,both,y,y,y,2011
PHI201104070,NYN,PHI,PHI13,20110407,0,3:05PM,day,,,false,,144,45468,unknown,unknown,cloudy,50,rtol,9,dunnj701,,,everm901,wegnm901,guccc901,wintm901,,,hallr001,niesj001,,regular,0,11,PHI,NYN,y,both,y,y,y,2011
